Date,Open_x,High_x,Low_x,Close_x,Volume_x,Aramco_Change_pct,Ticker_x,Aramco_Change_pct_lag_1,Aramco_Change_pct_lag_3,Aramco_Change_pct_lag_5,Aramco_Volatility_5,Aramco_Trend_5,Open_y,High_y,Low_y,Close_y,Volume_y,Al_Rajhi_Change_pct,Ticker_y,Al_Rajhi_Change_pct_lag_1,Al_Rajhi_Change_pct_lag_3,Al_Rajhi_Change_pct_lag_5,Al_Rajhi_Volatility_5,Al_Rajhi_Trend_5,Close,Open,High,Low,Volume,TASI_Change_pct,TASI_Change_pct_lag_1,TASI_Change_pct_lag_3,TASI_Change_pct_lag_5,TASI_Volatility_5,TASI_Trend_5
2022-12-01,27.397685254501617,27.479470173269164,27.029657409796457,27.07054901123047,3923112,-1.1940314716827438,2222.SR,0.903605063459012,-2.571869421393591,-0.5988031478205258,2.1619969853882997,-0.041700761477945325,74.46720886230469,74.46720886230469,74.46720886230469,74.46720886230469,0.0,0.0,1120.SR,0.0,0.0,-0.1206359287855063,0.8618432275249628,-0.6082937875443746,10822.65,10928.97,10957.64,10822.65,123160000.0,-0.68,1.35,-0.46,-0.24,0.9965791488888357,-0.20800000000000005
2022-12-04,27.070548919142556,27.15233383763189,26.825195879574068,26.98876571655273,3201949,-0.3021116957908965,2222.SR,-1.1940314716827438,3.1056015785778435,-0.4518095563502466,2.1559259379962077,-0.011761189366075297,74.18900299072266,74.5599494207192,74.09626815202718,74.18900299072266,2159338.0,-0.3735951378229463,1120.SR,0.0,-1.8337320771461665,-1.2077368605757033,0.7949352129216273,-0.44146544299382323,10723.95,10853.78,10858.66,10722.67,85620000.0,-0.91,-0.68,0.05,-1.3,0.9003610386950315,-0.13000000000000006
2022-12-05,26.988766224259017,27.02965782632317,26.41627693176269,26.41627693176269,5514584,-2.121211435908388,2222.SR,-0.3021116957908965,0.903605063459012,-2.571869421393591,2.027749630715375,0.0783704077309654,74.28173614290087,74.28173614290087,71.40691375732422,71.40691375732422,4527436.0,-3.7500021852919896,1120.SR,-0.3735951378229463,0.0,0.0,1.6176146273766272,-1.191465880052221,10419.15,10735.57,10737.98,10419.15,116630000.0,-2.84,-0.91,1.35,-0.46,1.5284730943003204,-0.6060000000000001
2022-12-06,26.416278519210163,26.620738257717186,26.170925460282024,26.293601989746094,6623720,-0.4643914898889378,2222.SR,-2.121211435908388,-1.1940314716827438,3.1056015785778435,1.121223224144749,-0.6356282059623909,71.40691089750115,72.1488037109375,69.83039751296668,72.1488037109375,9364018.0,1.0389609557060364,1120.SR,-3.7500021852919896,0.0,-1.8337320771461665,1.828833868914346,-0.6169272734817806,10444.27,10405.83,10444.27,10265.63,133300000.0,0.24,-2.84,-0.68,0.05,1.5510544800231862,-0.568
2022-12-07,26.334490924166825,26.4162758408171,25.966463088989254,25.966463088989254,5974599,-1.2441768186968516,2222.SR,-0.4643914898889378,-0.3021116957908965,0.903605063459012,0.7257866468787718,-1.0651845823935637,72.14880482956447,72.42700933250583,68.62482452392578,68.62482452392578,4903261.0,-4.88432102232832,1120.SR,1.0389609557060364,-0.3735951378229463,0.0,2.5708590518273287,-1.5937914779474447,10185.14,10443.52,10466.64,10185.14,115300000.0,-2.48,0.24,-0.91,1.35,1.29096088244377,-1.334
2022-12-08,26.170925969114418,26.21181757443093,25.393976888602214,25.680221557617188,9045545,-1.1023508684686711,2222.SR,-1.2441768186968516,-2.121211435908388,-1.1940314716827438,0.7228699351353091,-1.046848461750749,68.90304171965302,70.75776685799937,68.43936043506643,69.55219268798828,6672428.0,1.351359614390235,1120.SR,-4.88432102232832,-3.7500021852919896,0.0,2.8375065716879404,-1.3235195550693977,10246.61,10209.21,10308.63,10089.12,113400000.0,0.6,-2.48,-2.84,-0.68,1.5533254649299988,-1.078
2022-12-11,25.680218561190653,25.802895078725705,25.107729289960066,25.23040580749512,5781856,-1.7516038524544864,2222.SR,-1.1023508684686711,-0.4643914898889378,-0.3021116957908965,0.6348239086939559,-1.3367468930834672,69.92313538124972,70.66502115167756,68.62482643898281,68.90303802490234,3796869.0,-0.933334576521616,1120.SR,1.351359614390235,1.0389609557060364,-0.3735951378229463,2.801472846943433,-1.4354674428091314,10138.31,10263.99,10326.44,10122.0,84260000.0,-1.06,0.6,0.24,-0.91,1.5507159636761325,-1.108
2022-12-12,25.230404649093877,25.31218784642935,24.53523889224532,24.73970031738281,9248818,-1.944897334812312,2222.SR,-1.7516038524544864,-1.2441768186968516,-2.121211435908388,0.5831489064926517,-1.3014840728642518,68.9030327473654,68.9030327473654,66.58462662632637,66.86283111572266,5339067.0,-2.9609825163911307,1120.SR,-0.933334576521616,-4.88432102232832,-3.7500021852919896,2.6570009035860616,-1.2776635090289599,10033.19,10168.17,10168.17,9950.17,642150000.0,-1.04,-1.06,-2.48,-2.84,1.2222602014301196,-0.7480000000000001
2022-12-13,24.86237777114546,25.55754360230644,24.821486168106457,25.06683921813965,8453920,1.3223236197690724,2222.SR,-1.944897334812312,-1.1023508684686711,-0.4643914898889378,1.313908599123982,-0.9441410509326499,67.69746754964193,70.01587397257487,67.23378626505534,69.55219268798828,5191994.0,4.022207147661794,1120.SR,-2.9609825163911307,1.351359614390235,1.0389609557060364,3.50644206088265,-0.6810142706378084,10221.14,10077.88,10303.6,10067.47,534380000.0,1.87,-1.04,0.6,0.24,1.6824149309846237,-0.42200000000000004
2022-12-14,25.353080508338653,25.598431809928467,25.14861908846456,25.31218719482422,4911910,0.9787750842835674,2222.SR,1.3223236197690724,-1.7516038524544864,-1.2441768186968516,1.5431060556513885,-0.49955067033656597,70.47955147787424,71.68512558323948,68.06841034235829,68.90303802490234,5133333.0,-0.933334576521616,1120.SR,4.022207147661794,-0.933334576521616,-4.88432102232832,2.667131549730555,0.10918301852353249,10248.12,10289.82,10386.11,10204.87,347940000.0,0.26,1.87,-1.06,-2.48,1.2298699118199437,0.12599999999999983
